table_name,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,ordinal_position,is_primary_key,foreign_table_name,foreign_column_name
artists,artist,text,null,null,null,NO,null,1,YES,null,null
artists,artist_id,uuid,null,null,null,NO,gen_random_uuid(),2,YES,null,null
bugs,bug_id,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
bugs,bug_type,text,null,null,null,NO,null,2,NO,null,null
bugs,bug_submissiondate,timestamp with time zone,null,null,null,NO,null,3,NO,null,null
bugs,bug_contactemail,text,null,null,null,NO,null,4,NO,null,null
bugs,bug_detail,text,null,null,null,NO,null,5,NO,null,null
bugs,bug_completion,boolean,null,null,null,NO,null,6,NO,null,null
bugs,bug_file_url,text,null,null,null,YES,null,7,NO,null,null
categories,category,text,null,null,null,NO,null,1,YES,null,null
categories,category_id,uuid,null,null,null,NO,gen_random_uuid(),2,YES,null,null
categories,category_type,text,null,null,null,NO,null,3,NO,null,null
categories,category_canonid,smallint,null,16,0,NO,null,4,NO,null,null
categories,category_artwork,text,null,null,null,YES,null,5,NO,null,null
categories,category_release_artist,text,null,null,null,YES,null,7,NO,null,null
categories,category_display_name,text,null,null,null,YES,null,8,NO,null,null
categories,category_releasedate,date,null,null,null,YES,null,11,NO,null,null
changes,change_uuid,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
changes,change,text,null,null,null,NO,null,2,NO,null,null
discography,uuid,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
discography,name,text,null,null,null,NO,null,2,NO,null,null
discography,displayname,text,null,null,null,NO,null,3,NO,null,null
discography,artist,text,null,null,null,NO,null,4,NO,null,null
discography,category,text,null,null,null,NO,null,5,NO,discography_categories,category
discography,artwork,text,null,null,null,NO,null,6,NO,null,null
discography,canon_id,smallint,null,16,0,NO,null,7,NO,null,null
discography,release_date,date,null,null,null,YES,null,8,NO,null,null
discography,coach_notes,text,null,null,null,YES,null,9,NO,null,null
discography_categories,uuid,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
discography_categories,category,text,null,null,null,NO,null,2,NO,null,null
groups,group,text,null,null,null,NO,null,1,YES,null,null
groups,group_id,uuid,null,null,null,NO,gen_random_uuid(),2,YES,null,null
guests,guest_category,text,null,null,null,NO,null,2,NO,null,null
guests,guest_instrument,text,null,null,null,NO,null,3,NO,null,null
guests,guest_displayname,text,null,null,null,NO,null,4,NO,null,null
guests,guest_id,uuid,null,null,null,NO,gen_random_uuid(),5,YES,null,null
guests,guest_canonid,smallint,null,16,0,NO,null,6,NO,null,null
guests,guest,text,null,null,null,NO,null,7,NO,null,null
joty_games,joty_game_uuid,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
joty_games,joty_game,smallint,null,16,0,NO,null,2,NO,null,null
joty_matchups,joty_matchup_uuid,uuid,null,null,null,NO,gen_random_uuid(),1,YES,null,null
joty_matchups,joty_round,text,null,null,null,NO,null,2,NO,joty_rounds,joty_round
joty_matchups,joty_region,text,null,null,null,NO,null,3,NO,joty_regions,joty_region
joty_matchups,joty_entry1,uuid,null,null,null,YES,null,4,NO,setlist_entries,entry_id
