print_id,title,event,venues,flags,show_detail,tour
341049,Goose Saratoga Springs 26 Loeffler - 1st,"July 3-4, 2026","Saratoga Performing Arts Center (SPAC) - Saratoga Springs, NY",no instagram link: Max Loeffler,"2026-07-03 Albany Med Health System at SPAC (Saratoga Springs, NY) | 2026-07-04 Albany Med Health System at SPAC (Saratoga Springs, NY)",
340967,Goose Saratoga Springs 26 Schaw - 1st,"July 3-4, 2026","Saratoga Performing Arts Center (SPAC) - Saratoga Springs, NY",no instagram link: Peter Schaw,"2026-07-03 Albany Med Health System at SPAC (Saratoga Springs, NY) | 2026-07-04 Albany Med Health System at SPAC (Saratoga Springs, NY)",
340832,Echoes in Ink New York City 26 Benchetler - 1st,,,unassigned — no show or tour; no parseable event date,,
340817,Goose Charleston 26 Mazza - 1st,"June 23-24, 2026","Firefly Distillery - Charleston, SC",no instagram link: Jim Mazza,"2026-06-23 Firefly Distillery (North Charleston, SC) | 2026-06-24 Firefly Distillery (North Charleston, SC)",
340794,Goose New York City [VIP] 26 Hatch - 1st,"June 21, 2026","Central Park Summerstage - New York City, NY",no instagram link: Duncan Hatch,"2026-06-21 SummerStage in Central Park (New York, NY)",
340628,Goose Virginia Beach 26 Cohen - 1st,"June 15-16, 2026","Dome, The - Virginia Beach, VA",no instagram link: Evan Cohen,"2026-06-15 The Dome (Virginia Beach, VA) | 2026-06-16 The Dome (Virginia Beach, VA)",
340559,Goose Virginia Beach 26 Landland - Show,"June 15-16, 2026","Dome, The - Virginia Beach, VA",no instagram link: Landland,"2026-06-15 The Dome (Virginia Beach, VA) | 2026-06-16 The Dome (Virginia Beach, VA)",
340524,Goose New York City 26 Spusta - 1st,"June 19-20, 2026","Madison Square Garden - New York City, NY",no instagram link: Marq Spusta,"2026-06-19 Madison Square Garden (New York, NY) | 2026-06-20 Madison Square Garden (New York, NY)",
340423,Goose Toronto 26 Morning Breath - 1st,2026-06-13,"RBC Amphitheatre - Toronto, ON, CAN",unassigned — no show or tour; no parseable event date; no instagram link: Morning Breath,,
340416,Goose Live at Madison Square Garden - 1st,2025-06-28,"Madison Square Garden - New York City, NY",unassigned — no show or tour; no parseable event date; no instagram link: *Unknown,,
340150,Goose Berlin 26 Loeffler - 1st,"June 3, 2026","Festsaal Kreuzberg - Berlin, GER",no instagram link: Max Loeffler,"2026-06-03 Festsaal Kreuzberg (Berlin, DEU)",
